a	aː
andorra	a n t ɔ r a
andra	a n t r a
andrea	a n t r ɛ a
andreas	a n t r ɛ a s
andri	a n t r ɪ
andrá	a n t r au
andráin	a n t r au ɪ n
andránni	a n t r au n ɪ
andrésar	a n t r j ɛ s a r
andrési	a n t r j ɛ s ɪ
andríkur	a n t r i k ʏ r
andrúmsloft	a n t r u m s t l ɔ f t
andrúmslofti	a n t r u m s t l ɔ f t ɪ
andrúmsloftinu	a n t r u m s t l ɔ f t ɪ n ʏ
andskota	a n s k ɔ t a
andskotann	a n s k ɔ t a n
andskotans	a n s k ɔ t a n s
andskotar	a n s k ɔ t a r
andskotast	a n s k ɔ t a s t
andskoti	a n s k ɔ t ɪ
andskotinn	a n s k ɔ t ɪ n
andskáldsöguna	a n t s k au l t s œ ɣ ʏ n a
andsnúinn	a n t s t n u ɪ n
andsnúnir	a n t s t n u n ɪ r
andspyrnu	a n t s p ɪ t n ʏ
andspænis	a n t s p ai n ɪ s
andstaða	a n t s t a ð a
andstaðan	a n t s t a ð a n
andstreymi	a n t s t r ei m ɪ
andstutt	a n t s t ʏ h t
andstyggilega	a n t s t ɪ c ɪ l ɛ ɣ a
andstyggilegur	a n t s t ɪ c ɪ l ɛ ɣ ʏ r
andstyggð	a n t s t ɪ ɣ ð
andstyggðar	a n t s t ɪ ɣ ð a r
andstætt	a n t s t ai h t
andstæð	a n t s t ai ð
andstæða	a n t s t ai ð a
andstæðar	a n t s t ai ð a r
andstæðing	a n t s t ai ð i ŋ k
andstæðinga	a n t s t ai ð i ŋ k a
andstæðinganna	a n t s t ai ð i ŋ k a n a
andstæðingar	a n t s t ai ð i ŋ k a r
andstæðingarnir	a n t s t ai ð i ŋ k a t n ɪ r
andstæðinginn	a n t s t ai ð i ɲ c ɪ n
andstæðingum	a n t s t ai ð i ŋ k ʏ m
andstæðingur	a n t s t ai ð i ŋ k ʏ r
andstæðingurinn	a n t s t ai ð i ŋ k ʏ r ɪ n
andstæðu	a n t s t ai ð ʏ
andstæðum	a n t s t ai ð ʏ m
andstæður	a n t s t ai ð ʏ r
andstöðu	a n t s t œ ð ʏ
andstöðuflokkur	a n t s t œ ð ʏ f l ɔ h k ʏ r
andsvar	a n t s v a r
andvaka	a n t v a k a
andvana	a n t v a n a
andvara	a n t v a r a
andvari	a n t v a r ɪ
andvarpandi	a n t v a r̥ p a n t ɪ
andvarpaði	a n t v a r̥ p a ð ɪ
andvarpi	a n t v a r̥ p ɪ
andvirði	a n t v ɪ r ð ɪ
andvíg	a n t v i ɣ
andvígir	a n t v i j ɪ r
andvígur	a n t v i ɣ ʏ r
andvörpum	a n t v œ r̥ p ʏ m
andæfa	a n t ai v a
andóf	a n t ou v
andúð	a n t u ð
andúðar	a n t u ð a r
andúðin	a n t u ð ɪ n
ang	au ŋ k
anga	au ŋ k a
angan	au ŋ k a n
angandi	au ŋ k a n t ɪ
anganin	au ŋ k a n ɪ n
angar	au ŋ k a r
angela	a n c ɛ l a
angelu	a n c ɛ l ʏ
angi	au ɲ c ɪ
anginn	au ɲ c ɪ n
angist	au ɲ c ɪ s t
angistar	au ɲ c ɪ s t a r
angistarfull	au ɲ c ɪ s t a r f ʏ t l̥
angra	au ŋ k r a
angrar	au ŋ k r a r
angraði	au ŋ k r a ð ɪ
angri	au ŋ k r ɪ
angur	au ŋ k ʏ r
angurfull	au ŋ k ʏ r f ʏ t l̥
angurvært	au ŋ k ʏ r v ai r̥ t
angurværu	au ŋ k ʏ r v aiː r ʏ
angurværð	au ŋ k ʏ r v ai r ð
angóla	a ŋ k ou l a
anja	a n j a
ankara	a ŋ̊ k a r a
ann	a n
anna	a n a
annan	a n a n
annar	a n a r
annarlegum	a n a r l ɛ ɣ ʏ m
annarra	a n a r a
annarrar	a n a r a r
annarri	a n a r ɪ
annars	a n a r̥ s
annarskonar	a n a r̥ s k ɔ n a r
annarsstaðar	a n a r̥ s t a ð a r
annarsvegar	a n a r̥ s v ɛ ɣ a r
annast	a n a s t
annað	a n a ð
annaðhvort	a n a ð k v ɔ r̥ t
anni	a n ɪ
annika	a n ɪ h k a
anniku	a n ɪ k ʏ
annir	a n ɪ r
annist	a n ɪ s t
annmarka	a n m a r̥ k a
annmarkar	a n m a r̥ k a r
annmörkum	a n m œ r̥ k ʏ m
annríki	a n r i c ɪ
annríkt	a n r i x t
annt	a n̥ t
annálaður	a n au l a ð ʏ r
ansar	a n s a r
ansaði	a n s a ð ɪ
ansi	a n s ɪ
anton	a n̥ t ɔ n
antonsdóttir	a n̥ t ɔ n s t ou h t ɪ r
antonsson	a n̥ t ɔ n s ɔː n
antí	a n̥ t i
aníta	aː n i t a
anítu	aː n i t ʏ
apar	aː p a r
apasýningar	aː p a s iː n i ŋ k a r
apategundar	aː p a t ɛː ɣ ʏ n t a r
api	aː p ɪ
apparat	a h p a r a t
appelsín	a h p ɛ l s i n
appelsínu	a h p ɛ l s i n ʏ
appelsínuberki	a h p ɛ l s i n ʏ p ɛ r̥ c ɪ
appelsínugula	a h p ɛ l s i n ʏ k ʏː l a
appelsínugult	a h p ɛ l s i n ʏ k ʏ l̥ t
appelsínugulum	a h p ɛ l s i n ʏ k ʏː l ʏ m
appelsínum	a h p ɛ l s i n ʏ m
appelsínur	a h p ɛ l s i n ʏ r
appelsínurnar	a h p ɛ l s i n ʏ t n a r
apótek	aː p ou t ɛː k
apóteka	aː p ou t ɛː k a
apótekanna	aː p ou t ɛː k a n a
apótekaraeyju	aː p ou t ɛː k a r a eiː j ʏ
apótekinu	aː p ou t ɛː c ɪ n ʏ
apótekið	aː p ou t ɛː c ɪ ð
apótekum	aː p ou t ɛː k ʏ m
ara	aː r a
araba	aː r a p a
arabía	aː r a p i j a
arabíska	aː r a p i s k a
arabísku	aː r a p i s k ʏ
arabíu	aː r a p i j ʏ
aragrúa	aː r a k r u a
aragrúi	aː r a k r u ɪ
arf	a r v
arfa	a r v a
arfavont	a r v a v ɔ n̥ t
arfberar	a r v p ɛː r a r
arfblendnir	a r v p l ɛ n t n ɪ r
arfgerð	a r v c ɛ r ð
arfgerða	a r v c ɛ r ð a
arfi	a r v ɪ
arfinn	a r v ɪ n
arfinum	a r v ɪ n ʏ m
arfleiddi	a r v l ei t ɪ
arfleifð	a r v l ei v ð
arftaka	a r v t a k a
arftaki	a r v t a c ɪ
arfur	a r v ʏ r
argasta	a r k a s t a
argentína	a r k ɛ n t iː n a
argentínu	a r k ɛ n t iː n ʏ
argon	a r k ɔ n
argosar	a r k ɔ s a r
argur	a r k ʏ r
ari	aː r ɪ
arinbjörn	aː r ɪ n p j œ t n̥
arininn	aː r ɪ n ɪ n
arka	a r̥ k a
arkar	a r̥ k a r
arkir	a r̥ c ɪ r
arkitekt	a r̥ c ɪ t ɛ x t
arkitekta	a r̥ c ɪ t ɛ x t a
arkitektar	a r̥ c ɪ t ɛ x t a r
arkitektarnir	a r̥ c ɪ t ɛ x t a t n ɪ r
arkitektinn	a r̥ c ɪ t ɛ x t ɪ n
arkitekts	a r̥ c ɪ t ɛ x t s
arkitektsins	a r̥ c ɪ t ɛ x t s ɪ n s
arkitektum	a r̥ c ɪ t ɛ x t ʏ m
arkitektúr	a r̥ c ɪ t ɛ x t u r
arma	a r m a
armana	a r m a n a
armar	a r m a r
armband	a r m p a n t
armbandsúr	a r m p a n t s u r
armbandsúrið	a r m p a n t s uː r ɪ ð
armbeygjur	a r m p ei j ʏ r
armbönd	a r m p œ n t
armena	a r m ɛ n a
armenar	a r m ɛ n a r
armeni	a r m ɛ n ɪ
armensku	a r m ɛ n s k ʏ
armeníu	a r m ɛ n i j ʏ
armi	a r m ɪ
arminn	a r m ɪ n
arminum	a r m ɪ n ʏ m
armkútar	a r m k u t a r
armur	a r m ʏ r
armæðu	a r m ai ð ʏ
arna	a r t n a
arnald	a r t n a l t
arnalds	a r t n a l t s
arnaldur	a r t n a l t ʏ r
arnar	a r t n a r
arnarfjarðardali	a r t n a r f j a r ð a t aː l ɪ
arnari	a r t n a r ɪ
arnarneshjöllunum	a r t n a r n ɛ s ç œ t l ɔ n ʏ m
arnarnesvog	a r t n a r n ɛ s v ɔː ɣ
arnarnesvogi	a r t n a r n ɛ s v ɔi j ɪ
arnars	a r t n a r̥ s
arnbjörg	a r t n p j œ r k
arnbjörgu	a r t n p j œ r k ʏ
arnbjörnsson	a r t n p j œ r̥ s ɔː n
arndal	a r t n t aː l
arndís	a r t i s
arnfinnsson	a r t n f ɪ n s ɔː n
arnfríður	a r t n f r i ð ʏ r
arngerður	a r t n c ɛ r ð ʏ r
arngrímur	a r t n k r i m ʏ r
arnheiður	a r t n h ei ð ʏ r
arni	a r t n ɪ
arninum	a r t n ɪ n ʏ m
arnljótur	a r t n l j ou t ʏ r
arnór	a r t n ou r
arnórs	a r t n ou r̥ s
arnþrúður	a r t n θ r u ð ʏ r
arnþór	a r t n θ ou r
aron	aː r ɔ n
aroni	aː r ɔ n ɪ
arons	aː r ɔ n s
aronson	aː r ɔ n s ɔː n
artemisar	a r̥ t ɛ m ɪ s a r
arthúr	a r̥ t u r
aría	aː r i j a
aríu	aː r i j ʏ
aríur	aː r i j ʏ r
arða	a r ð a
arðbær	a r ð p ai r
arðgreiðslur	a r ð k r ei ð s t l ʏ r
arði	a r ð ɪ
arðs	a r ð s
arðsemi	a r ð s ɛ m ɪ
arður	a r ð ʏ r
as	aː s
asa	aː s a
asalaust	aː s a l œy s t
asi	aː s ɪ
ask	a s k
aska	a s k a
askan	a s k a n
aski	a s c ɪ
askinum	a s c ɪ n ʏ m
askja	a s c a
askur	a s k ʏ r
askvaðandi	a s k v a ð a n t ɪ
asna	a s t n a
asnann	a s t n a n
asnans	a s t n a n s
asnanum	a s t n a n ʏ m
asnar	a s t n a r
asnaskinn	a s t n a s c ɪ n
asnaðist	a s t n a ð ɪ s t
asni	a s t n ɪ
asninn	a s t n ɪ n
aspar	a s p a r
astekar	a s t ɛ k a r
astma	a s m a
astrid	a s t r ɪ t
asíu	aː s i j ʏ
at	aː t
ata	aː t a
atarna	a t a r t n a
atast	aː t a s t
ataður	aː t a ð ʏ r
atbeina	aː t p ei n a
atburð	aː t p ʏ r ð
atburðanna	aː t p ʏ r ð a n a
atburðar	aː t p ʏ r ð a r
atburðarásin	aː t p ʏ r ð a r auː s ɪ n
atburðarásina	aː t p ʏ r ð a r auː s ɪ n a
atburðarásinni	aː t p ʏ r ð a r auː s ɪ n ɪ
atburði	aː t p ʏ r ð ɪ
atburðina	aː t p ʏ r ð ɪ n a
atburðinn	aː t p ʏ r ð ɪ n
atburðinum	aː t p ʏ r ð ɪ n ʏ m
atburðir	aː t p ʏ r ð ɪ r
atburðirnir	aː t p ʏ r ð ɪ t n ɪ r
atburðum	aː t p ʏ r ð ʏ m
atburðunum	aː t p ʏ r ð ɔ n ʏ m
atburður	aː t p ʏ r ð ʏ r
atburðurinn	aː t p ʏ r ð ʏ r ɪ n
atferli	aː t f ɛ r t l ɪ
atferlistruflaðir	aː t f ɛ r t l ɪ s t r ʏ p l a ð ɪ r
atgervi	aː t c ɛ r v ɪ
athafna	aː t a p n a
athafnamannsekja	aː tʰ a p n a m a n s ɛ c a
athafnasemi	aː t a p n a s ɛː m ɪ
athafnir	aː t a p n ɪ r
athlægi	aː t l̥ ai j ɪ
athuga	aː t ʏ ɣ a
athugana	aː t ʏ ɣ a n a
athuganir	aː t ʏ ɣ a n ɪ r
athugasemd	aː t ʏ ɣ a s ɛ m t
athugasemda	aː t ʏ ɣ a s ɛ m t a
athugasemdina	aː t ʏ ɣ a s ɛ m t ɪ n a
athugasemdir	aː t ʏ ɣ a s ɛ m t ɪ r
athugasemdirnar	aː t ʏ ɣ a s ɛ m t ɪ t n a r
athugasemdum	aː t ʏ ɣ a s ɛ m t ʏ m
athugað	aː t ʏ ɣ a ð
athugaðu	aː t ʏ ɣ a ð ʏ
athugull	aː t ʏ ɣ ʏ t l̥
athugult	aː t ʏ ɣ ʏ l̥ t
athugun	aː t ʏ ɣ ʏ n
athugunar	aː t ʏ ɣ ʏ n a r
athugunum	aː t ʏ ɣ ʏ n ʏ m
athuguðu	aː t ʏ ɣ ʏ ð ʏ
athvarf	aː t k v a r v
athyglin	aː t ɪ k l ɪ n
athyglina	aː t ɪ k l ɪ n a
athyglinni	aː t ɪ k l ɪ n ɪ
athyglissýkina	aː tʰ ɪ k l ɪ s iː c ɪ n a
athyglisverðasta	aː t ɪ k l ɪ s v ɛ r ð a s t a
athyglisverðri	aː tʰ ɪ k l ɪ s v ɛ r ð r ɪ
athyglisverðum	aː t ɪ k l ɪ s v ɛ r ð ʏ m
athyglisverður	aː t ɪ k l ɪ s v ɛ r ð ʏ r
athyglisverðustu	aː t ɪ k l ɪ s v ɛ r ð ʏ s t ʏ
athæfi	aː t ai v ɪ
athöfn	aː t œ p n̥
athöfnin	aː t œ p n ɪ n
athöfnina	aː t œ p n ɪ n a
athöfninni	aː t œ p n ɪ n ɪ
athöfnum	aː t œ p n ʏ m
atkvæða	aː t k v ai ð a
atkvæðagreiðslan	aː t k v ai ð a k r ei ð s t l a n
atkvæðagreiðsluna	aː t k v ai ð a k r ei ð s t l ʏ n a
atkvæðagreiðslunnar	aː t k v ai ð a k r ei ð s t l ʏ n a r
atkvæðagreiðslunni	aː t k v ai ð a k r ei ð s t l ʏ n ɪ
atkvæðanna	aː t k v ai ð a n a
atkvæði	aː t k v ai ð ɪ
atkvæðin	aː t k v ai ð ɪ n
atkvæðum	aː t k v ai ð ʏ m
atla	a h t l a
atlaga	aː t l a ɣ a
atlantis	a h t l a n t ɪ s
atlantshaf	a h t l a n t s h aː v
atlantshafi	a h t l a n t s h aː v ɪ
atlantshafið	a h t l a n t s h aː v ɪ ð
atlantshafs	a h t l a n s h a f s
atlantsskip	a h t l a n t s c ɪ p
atlantsskipa	a h t l a n t s c ɪ p a
atlas	a h t l a s
atlasfjalla	a h t l a s f j a t l a
atlot	aː t l ɔ t
atlæti	aː t l ai t ɪ
atlögu	aː t l œ ɣ ʏ
atorku	aː t ɔ r̥ k ʏ
atrennu	aː t r ɛ n ʏ
atriða	aː t r ɪ ð a
atriði	aː t r ɪ ð ɪ
atriðinu	aː t r ɪ ð ɪ n ʏ
atriðið	aː t r ɪ ð ɪ ð
atriðum	aː t r ɪ ð ʏ m
atskákir	aː t s k au c ɪ r
att	a h t
atvik	aː t v ɪ k
atvika	aː t v ɪ k a
atvikaðist	aː t v ɪ k a ð ɪ s t
atviki	aː t v ɪ c ɪ
atvikin	aː t v ɪ c ɪ n
atvikinu	aː t v ɪ c ɪ n ʏ
atvikið	aː t v ɪ c ɪ ð
atviks	aː t v ɪ k s
atvinna	aː t v ɪ n a
atvinnu	aː t v ɪ n ʏ
atvinnugreinin	aː t v ɪ n ʏ k r eiː n ɪ n
atvinnuhúsnæðis	aː t v ɪ n ʏ h u s t n ai ð ɪ s
atvinnulausir	aː t v ɪ n ʏ l œyː s ɪ r
atvinnuleysis	aː t v ɪ n ʏ l eiː s ɪ s
atvinnuleysisbæturnar	aː t v ɪ n ʏ l eiː s ɪ s p aiː t ʏ t n a r
atvinnuleysið	aː t v ɪ n ʏ l eiː s ɪ ð
atvinnurekanda	aː t v ɪ n ʏ r ɛː k a n t a
atvinnurekandann	aː t v ɪ n ʏ r ɛː k a n t a n
atvinnurekandi	aː t v ɪ n ʏ r ɛː k a n t ɪ
atvinnurekenda	aː t v ɪ n ʏ r ɛː k ɛ n t a
atvinnurekendum	aː t v ɪ n ʏ r ɛː k ɛ n t ʏ m
atvinnurekendur	aː t v ɪ n ʏ r ɛː k ɛ n t ʏ r
aufúsugestur	œyː f u s ʏ c ɛ s t ʏ r
auga	œyː ɣ a
augabrúnina	œyː ɣ a p r uː n ɪ n a
augabrúninni	œyː ɣ a p r uː n ɪ n ɪ
augabrúnirnar	œyː ɣ a p r uː n ɪ t n a r
augabrúnum	œyː ɣ a p r uː n ʏ m
augabrúnunum	œyː ɣ a p r uː n ɔ n ʏ m
augabrýnnar	œyː ɣ a p r i t n a r
augabrýrnar	œyː ɣ a p r i t n a r
augans	œyː ɣ a n s
auganu	œyː ɣ a n ʏ
augasteinarnir	œyː ɣ a s t eiː n a t n ɪ r
augað	œyː ɣ a ð
auglit	œy ɣ l ɪ t
augliti	œy ɣ l ɪ t ɪ
auglitis	œy ɣ l ɪ t ɪ s
augljós	œy ɣ l j ou s
augljósa	œy ɣ l j ou s a
augljósar	œy ɣ l j ou s a r
augljóslega	œy ɣ l j ou s t l ɛ ɣ a
augljósri	œy ɣ l j ou s r ɪ
augljóst	œy ɣ l j ou s t
augljósu	œy ɣ l j ou s ʏ
augljósum	œy ɣ l j ou s ʏ m
auglýsa	œy ɣ l i s a
auglýsenda	œy ɣ l i s ɛ n t a
auglýsendur	œy ɣ l i s ɛ n t ʏ r
auglýsing	œy ɣ l i s i ŋ k
auglýsinga	œy ɣ l i s i ŋ k a
auglýsingar	œy ɣ l i s i ŋ k a r
auglýsingarnar	œy ɣ l i s i ŋ k a t n a r
auglýsingum	œy ɣ l i s i ŋ k ʏ m
auglýsinguna	œy ɣ l i s i ŋ k ʏ n a
auglýsingunni	œy ɣ l i s i ŋ k ʏ n ɪ
auglýsir	œy ɣ l i s i r
auglýst	œy ɣ l i s t
auglýstar	œy ɣ l i s t a r
auglýsti	œy ɣ l i s t ɪ
auglýstu	œy ɣ l i s t ʏ
auglýstur	œy ɣ l i s t ʏ r
augna	œy k n a
augnabliki	œy k n a p l ɪː c ɪ
augnablikinu	œy k n a p l ɪː c ɪ n ʏ
augnablikið	œy k n a p l ɪː c ɪ ð
augnabliks	œy k n a p l ɪ k s
augnabliksins	œy k n a p l ɪ k s ɪ n s
augnagotum	œy k n a k ɔː t ʏ m
augnagotur	œy k n a k ɔː t ʏ r
augnakrókunum	œy k n a k r ouː k ɔ n ʏ m
augnalokunum	œy k n a l ɔː k ɔ n ʏ m
augnanna	œy k n a n a
augnaráði	œy k n a r auː ð ɪ
augnaráðinu	œy k n a r auː ð ɪ n ʏ
augnaráðið	œy k n a r auː ð ɪ ð
augnlok	œy k n l ɔ k
augnlokin	œy k n l ɔ c ɪ n
augnlokum	œy k n l ɔ k ʏ m
augnlokunum	œy k n l ɔ k ɔ n ʏ m
augnsambandi	œy k n s a m p a n t ɪ
augnskugga	œy k n s k ʏ k a
augsýn	œy x s i n
augsýnilega	œy x s i n ɪ l ɛ ɣ a
augu	œyː ɣ ʏ
augum	œyː ɣ ʏ m
augun	œyː ɣ ʏ n
augunum	œyː ɣ ɔ n ʏ m
auk	œyː k
auka	œyː k a
aukana	œyː k a n a
aukaspyrnu	œyː k a s p ɪ r t n ʏ
aukast	œyː k a s t
auki	œyː c ɪ
aukin	œyː c ɪ n
aukinn	œyː c ɪ n
aukinna	œyː c ɪ n a
aukinnar	œyː c ɪ n a r
aukinni	œyː c ɪ n ɪ
aukins	œyː c ɪ n s
aukist	œyː c ɪ s t
aukið	œyː c ɪ ð
aukna	œy h k n a
auknar	œy h k n a r
aukning	œy h k n i ŋ k
aukningar	œy h k n i ŋ k a r
aukningin	œy h k n i ɲ c ɪ n
aukningu	œy h k n i ŋ k ʏ
auknu	œy h k n ʏ
auknum	œy h k n ʏ m
aulafyndni	œyː l a f ɪ n t n ɪ
auli	œyː l ɪ
auma	œyː m a
auman	œyː m a n
aumi	œyː m ɪ
aumingi	œyː m i ɲ c ɪ
auminginn	œyː m i ɲ c ɪ n
aumingja	œyː m i ɲ c a
aumingjann	œyː m i ɲ c a n
aumingjans	œyː m i ɲ c a n s
aumingjar	œyː m i ɲ c a r
aumingjarnir	œyː m i ɲ c a t n ɪ r
aumkunarvert	œy m̥ k ʏ n a r v ɛ r̥ t
aumt	œy m̥ t
aumum	œyː m ʏ m
aumur	œyː m ʏ r
aur	œyː r
aura	œyː r a
aurum	œyː r ʏ m
ausa	œyː s a
ausandi	œyː s a n t ɪ
ausið	œyː s ɪ ð
austan	œy s t a n
austar	œy s t a r
austast	œy s t a s t
austfirði	œy s t f ɪ r ð ɪ
austfirðinga	œy s t f ɪ r ð i ŋ k a
austfirðingar	œy s t f ɪ r ð i ŋ k a r
austfirðingum	œy s t f ɪ r ð i ŋ k ʏ m
austfjörðum	œy s t f j œ r ð ʏ m
austri	œy s t r ɪ
austur	œy s t ʏ r
austurborginni	œy s t ʏ r p ɔ r c ɪ n ɪ
austurlenska	œy s t ʏ r l ɛ n s k a
austurlensku	œy s t ʏ r l ɛ n s k ʏ
austurríkis	œy s t ʏ r i c ɪ s
austurríska	œy s t ʏ r i s k a
austurrísku	œy s t ʏ r i s k ʏ
austurs	œy s t ʏ r̥ s
ausu	œyː s ʏ
ausuna	œyː s ʏ n a
autt	œy h t
auð	œyː ð
auðan	œyː ð a n
auðar	œyː ð a r
auðfundið	œy ð f ʏ n t ɪ ð
auðga	œy ð k a
auðgast	œy ð k a s t
auðgað	œy ð k a ð
auðheyrilega	œy ð h ei r ɪ l ɛ ɣ a
auði	œy ð ɪ
auðir	œy ð ɪ r
auðið	œy ð ɪ ð
auðlegð	œy ð l ɛ ɣ ð
auðlindagjalds	œy ð l ɪ n t a c a l t s
auðlindanna	œy ð l ɪ n t a n a
auðlindina	œy ð l ɪ n t ɪ n a
auðlindinni	œy ð l ɪ n t ɪ n ɪ
auðlindum	œy ð l ɪ n t ʏ m
auðmjúklega	œy ð m j u k l ɛ ɣ a
auðmýkingu	œy ð m i c i ŋ k ʏ
auðmýkja	œy ð m i c a
auðmýkt	œy ð m i x t
auðn	œy ð n
auðnast	œy ð n a s t
auðnaðist	œy ð n a ð ɪ s t
auðnina	œy ð n ɪ n a
auðninni	œy ð n ɪ n ɪ
auðnu	œy ð n ʏ
auðri	œy ð r ɪ
auðsjáanlega	œy ð s j au a n l ɛ ɣ a
auðsæilega	œy ð s ai j ɪ l ɛ ɣ a
auðsætt	œy ð s ai h t
auðsýnilega	œy ð s i n ɪ l ɛ ɣ a
auðtrúa	œy ð t r u a
auðu	œyː ð ʏ
auðuga	œyː ð ʏ ɣ a
auðugra	œyː ð ʏ ɣ r a
auðugri	œyː ð ʏ ɣ r ɪ
auðugt	œyː ð ʏ ɣ t
auðugum	œyː ð ʏ ɣ ʏ m
auðugur	œyː ð ʏ ɣ ʏ r
auðum	œyː ð ʏ m
auðun	œyː ð ʏ n
auðunn	œyː ð ʏ n
auðuns	œyː ð ʏ n s
auður	œyː ð ʏ r
auðveld	œy ð v ɛ l t
auðvelda	œy ð v ɛ l t a
auðveldan	œy ð v ɛ l t a n
auðveldar	œy ð v ɛ l t a r
auðveldara	œy ð v ɛ l t a r a
auðveldari	œy ð v ɛ l t a r ɪ
auðveldast	œy ð v ɛ l t a s t
auðveldað	œy ð v ɛ l t a ð
auðveldaði	œy ð v ɛ l t a ð ɪ
auðveldlega	œy ð v ɛ l t l ɛ ɣ a
auðveldur	œy ð v ɛ l t ʏ r
auðveldust	œy ð v ɛ l t ʏ s t
auðvelt	œy ð v ɛ l̥ t
auðvitað	œy ð v ɪ t a ð
auðæfi	œy ð ai v ɪ
auðæfum	œy ð ai v ʏ m
avis	aː v ɪ s
ax	a k s
axarskaft	a k s a r s k a f t
axarsköft	a k s a r s k œ f t
axel	a k s ɛ l
axels	a k s ɛ l s
axir	a k s ɪ r
axla	a k s t l a
axli	a k s t l ɪ
axlir	a k s t l ɪ r
axlirnar	a k s t l ɪ r t n a r
að	aː ð
aðal	aː ð a l
aðalatriðið	aː ð a l a t r ɪ ð ɪ ð
aðalfréttirnar	aː ð a l f r j ɛ h t ɪ t n a r
aðalfundinum	aː ð a l f ʏ n t ɪ n ʏ m
aðalfundurinn	aː ð a l f ʏ n t ʏ r ɪ n
aðalfylkingar	aː ð a l f ɪ l̥ c i ŋ k a r
aðalgötuna	aː ð a l k œː t ʏ n a
aðalhlutverkin	aː ð a l̥ ʏ t v ɛ r̥ c ɪ n
aðalhlutverkum	aː ð a l̥ ʏ t v ɛ r̥ k ʏ m
aðaljárnbrautarstöðinni	aː ð a l j au t n p r œy t a r s t œː ð ɪ n ɪ
aðalkvöldfréttatími	aː ð a l k v œ l t f r j ɛ h t a t iː m ɪ
aðalleikendur	aː ð a l eiː k ɛ n t ʏ r
aðalnámskrá	aː ð a l n au m s k r au
aðalnámskránni	aː ð a l n au m s k r au n ɪ
aðalnámskrár	aː ð a l n au m s k r au r
aðalpersónan	aː ð a l p ɛ r̥ s ou n a n
aðalpósthúsinu	aː ð a l p ou s t h u s ɪ n ʏ
aðalritstjóra	aː ð a l r ɪː t s t j ou r a
aðalritstjórann	aː ð a l r ɪː t s t j ou r a n
aðalritstjórans	aː ð a l r ɪː t s t j ou r a n s
aðalréttinum	aː ð a l r j ɛ h t ɪ n ʏ m
aðalrétturinn	aː ð a l r j ɛ h t ʏ r ɪ n
aðalsafnaðarfundur	aː ð a l s a p n a ð a r f ʏ n t ʏ r
aðalsagnarinnar	aː ð a l s a k n a r ɪ n a r
aðalsalnum	aː ð a l s a l n ʏ m
aðalskipulagi	aː ð a l s c ɪː p ʏ l aiː j ɪ
aðalskipulaginu	aː ð a l s c ɪː p ʏ l aiː j ɪ n ʏ
aðalskipulags	aː ð a l s c ɪ p ʏ l a x s
aðalskipulagsskyldra	aː ð a l s c ɪ p ʏ l a x s c ɪ l t r a
aðalsmaður	aː ð a l s m aː ð ʏ r
aðalsmerki	aː ð a l s m ɛ r̥ c ɪ
aðalsteini	aː ð a l s t eiː n ɪ
aðalsteinsdóttir	aː ð a l s t ei n s t ou h t ɪ r
aðalsteinsdóttur	aː ð a l s t ei n s t ou h t ʏ r
aðalsteinsson	aː ð a l s t ei n s ɔː n
aðalsteinssonar	aː ð a l s t ei n s ɔː n a r
aðalsteinssyni	aː ð a l s t ei n s ɪː n ɪ
aðalstrætis	aː ð a l s t r aiː t ɪ s
aðalstöðvunum	aː ð a l s t œ ð v ɔ n ʏ m
aðaltekjulindir	aː ð a l tʰ ɛː c ʏ l ɪ n t ɪ r
aðalvandinn	aː ð a l v a n t ɪ n
aðalveginn	aː ð a l v eiː j ɪ n
aðalverka	aː ð a l v ɛ r̥ k a
aðalverktakar	aː ð a l v ɛ r̥ t a k a r
aðalástæðan	aː ð a l au s t ai ð a n
aðdraganda	a ð t r a ɣ a n t a
aðdragandi	a ð t r a ɣ a n t ɪ
aðdráttarafl	a ð t r au h t a r a p l̥
aðdráttarlinsuna	a ð t r au h t a r l ɪ n s ʏ n a
aðdróttanir	a ð t r ou h t a n ɪ r
aðdáandi	a ð t au a n t ɪ
aðdáenda	a ð t au ɛ n t a
aðdáendum	a ð t au ɛ n t ʏ m
aðdáendur	a ð t au ɛ n t ʏ r
aðdáun	a ð t au ʏ n
aðdáunar	a ð t au ʏ n a r
aðdáunin	a ð t au ʏ n ɪ n
aðdáunina	a ð t au ʏ n ɪ n a
aðeins	aː ð ei n s
aðfangadagskvöld	a ð f au ŋ k a t a x s k v œ l t
aðfaranótt	a ð f a r a n ou h t
aðfarirnar	a ð f a r ɪ t n a r
aðferðinni	a ð f ɛ r ð ɪ n ɪ
aðfinnslur	a ð f ɪ n s t l ʏ r
aðflugsbúnað	a ð f l ʏ x s p uː n a ð
aðflugshallasendum	a ð f l ʏ x s h a t l a s ɛ n t ʏ m
aðflugsstefnu	a ð f l ʏ x s t ɛ p n ʏ
aðframkomnir	a ð f r a m k ɔ m n ɪ r
aðföng	a ð f œy ŋ k
aðgangseyrir	a ð k au ŋ k s eiː r ɪ r
aðgangstölurnar	a ð k au ŋ k s t œː l ʏ t n a r
aðgengilegan	a ð c ei ɲ c ɪ l ɛ ɣ a n
aðgerða	a ð c ɛ r ð a
aðgerðanna	a ð c ɛ r ð a n a
aðgerðirnar	a ð c ɛ r ð ɪ t n a r
aðgerðunum	a ð c ɛ r ð ɔ n ʏ m
